950 : 0 : [[-0.27, 0.2, 0.76, -0.7, -0.08, -0.66], [0.67, 0.5, -0.41, 0.35, 0.72, -0.29], [-0.69, -0.76, -0.71, -0.83, -0.65, -0.32], [-0.67, -0.58, 0.32, 0.48, -0.29, -0.62], [0.36, -0.45, 0.37, 0.06, 0.71, -0.87], [-0.69, -0.33, 0.8, -0.9, -0.84, 0.6], [0.9, -0.82, 0.4, 0.85, -0.82, -0.89], [-0.79, 0.06, -0.34, 0.71, 0.63, -0.61]]
943 : 1 : [[0.12, 0.03, 0.42, -0.94, -0.23, -0.07], [-0.94, 0.48, 0.26, 0.34, 0.59, -0.87], [0.29, -0.49, 0.05, -0.16, 0.73, -0.97], [0.95, -0.82, -0.61, -0.05, 0.83, 0.91], [0.77, -0.97, -0.19, -0.26, 0.65, -0.99], [-0.83, 0.43, 0.67, 0.94, -0.68, -0.48], [0.28, 0.16, 0.75, -0.21, -0.21, -0.57], [-0.1, 0.44, -0.5, -0.07, -0.48, 0.5]]
720 : 2 : [[-0.26, -0.61, -0.24, 0.53, -0.56, 0.01], [0.73, 0.56, -0.72, -0.34, 0.4, 0.57], [-0.08, 0.64, -0.74, 0.14, -0.17, 0.86], [-0.11, 0.05, 0.61, 0.02, -0.72, 0.88], [0.41, 0.93, 0.75, 0.03, 0.85, 0.11], [-0.87, -0.85, 0.66, 0.68, 0.44, -0.99], [-0.99, 0.76, -0.5, 0.72, -0.13, -0.72], [-0.82, -0.71, 0.25, -0.11, 0.31, 0.49]]
572 : 3 : [[0.75, -0.81, -0.77, -0.91, -0.98, 0.1], [-0.83, -0.31, -0.94, 0.57, -0.44, -0.07], [0.87, 0.81, 0.67, -0.5, 0.48, 0.81], [0.13, 0.9, 0.29, 0.32, -0.98, 0.4], [-0.62, 0.02, 0.6, 0.42, -0.99, -0.88], [-0.04, 0.17, -0.91, 0.6, -0.62, 0.99], [-0.58, 0.86, 0.64, 0.44, 0.57, 0.3], [-0.09, -0.29, 0.87, 0.55, -0.2, -0.33]]
349 : 4 : [[-0.02, 0.67, -0.79, 0.23, -0.11, -0.56], [0.28, 0.11, -0.07, -0.49, -0.03, 0.1], [-0.22, 0.22, -0.71, 0.64, -0.32, 0.25], [0.04, -0.52, 0.15, 0.73, -0.61, -0.12], [0.49, 0.32, 0.95, 0.77, 0.58, 0.64], [0.46, 0.74, 0.23, 0.24, 0.43, -0.96], [-0.96, 0.66, -0.66, 0.85, -0.12, -0.68], [0.22, 0.67, -0.76, 0.01, -0.78, 0.04]]
1401 : 5 : [[-0.16, -0.45, 0.63, -0.69, 0.77, -0.01], [0.76, -0.67, 0.8, -0.28, 0.01, 0.42], [0.28, 0.73, 0.38, 0.28, -0.97, -0.13], [0.24, 0.43, 0.27, 0.73, 0.14, -0.3], [-0.64, -0.52, 0.49, 0.49, 0.7, 0.29], [0.98, -0.8, 0.72, -0.27, 0.3, 0.21], [0.61, 0.75, -0.2, 0.99, 0.4, -0.82], [0.0, -0.25, -0.8, 0.31, -0.48, -0.09]]
538 : 6 : [[0.41, 0.57, 0.75, 0.5, -0.79, -0.72], [-0.95, 0.78, 0.87, -0.77, 0.2, -0.54], [0.45, 0.48, -0.26, 0.88, -0.74, -0.85], [-0.18, 0.54, -0.7, 0.5, 0.26, -0.38], [0.71, 0.56, 0.96, 0.96, 0.1, 0.04], [-0.01, 0.25, 0.03, 0.93, 0.0, 0.17], [0.07, 0.37, 0.34, -0.67, -0.66, -0.66], [-0.61, -0.48, 0.68, 0.77, 0.26, 0.97]]
1175 : 7 : [[0.21, 0.34, 0.41, -0.3, 0.01, -0.55], [0.17, 0.15, -0.64, 0.8, 0.29, 0.16], [0.47, -0.75, -0.88, -0.19, 0.48, -0.76], [-0.53, -0.98, 0.48, -0.46, 0.31, -0.12], [-0.31, 0.73, -0.24, -0.41, 0.4, 0.8], [0.98, 0.29, 0.73, 0.77, -0.59, -0.2], [0.7, 0.74, -0.36, -0.28, -0.81, -0.38], [0.44, -1.0, 0.99, 0.14, 0.32, -0.49]]
243 : 8 : [[0.6, 0.09, -0.07, -0.93, 0.01, 0.92], [-0.54, -0.26, -0.43, 0.06, 0.97, 0.05], [0.04, -0.36, 0.73, 0.58, -0.9, 0.73], [-0.51, -0.87, 0.04, -0.46, -0.24, 0.07], [0.16, 0.33, 0.4, -0.56, 0.01, 0.11], [0.56, 0.43, -0.29, -0.88, -0.44, -1.0], [0.37, 0.87, 0.16, -0.73, 0.76, -0.69], [-0.23, 0.91, -0.51, -0.97, 0.13, 0.43]]
645 : 9 : [[0.96, 0.65, 0.06, -0.84, 0.08, -0.75], [0.89, 0.91, 0.54, 0.73, -0.11, -0.49], [-0.59, 0.48, -0.57, 0.22, 0.41, -0.58], [0.35, -0.73, -0.55, -0.97, -0.52, -0.53], [-0.45, 0.12, -0.68, -0.8, 0.7, -0.05], [0.64, 0.35, 0.19, -0.47, -0.13, -0.94], [0.61, -0.89, 0.43, -0.04, -0.65, -0.97], [0.88, -0.18, 0.45, -0.95, 0.0, 0.82]]
933 : 10 : [[0.66, 0.38, -0.81, -0.11, -0.48, 0.48], [-0.84, 0.22, -0.73, 0.12, 0.79, -0.5], [0.36, 0.05, -0.41, 0.09, 0.27, -0.5], [0.16, 0.31, 0.72, 0.28, -0.63, 0.86], [-0.9, 0.78, -0.45, -0.24, -0.14, -0.62], [0.86, 0.77, 0.42, -0.59, -0.5, 0.85], [-0.25, -0.66, 0.74, -0.52, -0.46, 0.79], [-0.27, 0.66, 0.67, -0.07, -0.99, 0.22]]
