395 : 0 : [[-0.69, -0.31, -0.74, -0.84, -0.27, 0.66], [0.93, -0.71, -0.27, -0.88, 0.24, 0.24], [-0.85, 0.89, 0.96, 0.3, 0.34, -0.51], [0.15, -0.81, 0.44, 0.46, 0.26, 0.63], [-0.16, -0.52, 0.75, -0.34, -0.18, 0.08], [-0.1, -0.98, 0.17, 0.59, 0.89, -0.62], [0.43, 0.9, 0.38, -0.28, 0.95, 0.0], [-0.83, -0.69, -0.33, -0.48, -0.06, -0.88]]
467 : 1 : [[0.45, 0.13, 0.63, -0.45, -0.97, -0.15], [0.1, 0.95, -0.84, -0.82, -0.5, -0.58], [-0.54, -0.84, -0.65, -0.14, 0.18, -0.16], [0.47, -0.7, 0.12, 0.93, 0.78, -0.99], [-0.2, 0.17, 0.38, -0.5, 0.06, -0.97], [-0.92, 0.27, 0.29, -0.44, 0.34, -0.2], [-0.41, 0.72, -0.86, 0.85, -0.44, 0.99], [-0.03, 0.96, -0.27, -0.14, -0.14, 0.98]]
1155 : 2 : [[0.18, 0.77, -0.94, 0.96, 0.36, -0.66], [0.15, -0.34, -0.07, -0.09, -0.67, 0.35], [0.37, 0.08, -0.87, 0.53, -0.43, -0.03], [-0.58, 0.04, 0.07, 0.56, 0.3, 0.86], [0.46, 0.24, -0.35, 0.07, -0.46, 0.53], [-0.54, 0.42, 0.44, -0.18, 0.55, -0.64], [0.71, 0.33, -0.97, 0.35, 0.01, 0.54], [0.15, 0.56, -0.48, 0.49, 0.29, 0.88]]
951 : 3 : [[0.34, 0.91, 0.93, 0.09, -0.43, -0.36], [0.11, 0.13, -0.9, -0.65, -0.94, 0.23], [-0.99, -0.47, 0.27, 0.77, 0.92, -0.41], [-0.79, 0.54, 0.4, 0.03, -0.23, 0.02], [-0.95, -0.86, 0.16, 0.16, -0.68, -0.98], [0.68, 0.4, -0.97, -0.05, -0.04, 0.38], [0.36, -0.64, 0.92, -0.09, -0.65, -0.19], [0.4, 0.92, 0.9, 0.51, 0.25, -0.88]]
982 : 4 : [[0.24, -0.77, -0.9, -0.41, -0.83, -0.09], [0.82, 0.29, -0.2, -0.89, 0.43, 0.23], [-0.77, -0.14, -0.85, 0.34, -0.79, -0.46], [-0.89, 0.31, 0.56, -0.95, 0.53, -0.88], [-0.18, -0.11, -0.22, -0.86, 0.85, -0.5], [-0.47, -0.1, -0.39, 0.72, 0.08, 0.22], [0.58, -0.06, -0.99, -0.88, 0.07, 0.89], [-0.99, -0.86, 0.03, -0.79, -0.11, 0.82]]
644 : 5 : [[-0.84, 0.82, -0.14, 0.4, -0.99, -0.85], [-0.38, 0.76, -0.66, -0.11, 0.77, -0.51], [0.34, 0.22, 0.62, -0.59, 0.86, -0.71], [0.76, 0.06, 0.89, -0.33, 0.06, 0.24], [0.06, 0.44, -0.37, -0.29, -0.5, -0.4], [-0.98, 0.76, 0.75, -0.48, 0.88, -0.82], [-0.57, 0.56, 0.24, -0.5, 0.28, -0.88], [-0.43, -0.46, -0.99, -0.24, 0.61, 0.3]]
743 : 6 : [[0.64, 0.57, -0.98, 0.37, -0.09, 0.02], [0.81, -0.63, -0.36, -0.45, -0.1, 0.64], [-0.38, -0.14, -0.54, 0.99, -0.78, -0.4], [-0.42, 0.11, -0.45, -0.66, 0.1, 0.66], [0.35, -0.63, -0.74, 0.68, -0.62, -0.4], [0.88, 0.24, -0.74, -0.66, 0.89, 0.63], [0.64, 0.72, 0.82, 0.87, 0.69, -0.04], [0.45, 0.6, -0.63, 0.2, 0.54, -1.0]]
181 : 7 : [[-0.42, 0.14, -0.72, 0.69, 0.35, -0.15], [-0.68, -0.34, 0.56, 0.22, 0.52, -0.73], [-0.35, -0.32, -0.75, 0.05, 0.73, 0.66], [-0.77, 0.62, 0.48, -0.36, -0.82, -0.19], [0.38, 0.01, 0.02, 0.75, 0.41, 0.08], [0.61, -0.06, -0.53, -0.35, -0.14, -0.57], [-0.6, 0.04, 0.02, 0.04, -0.74, -0.23], [-0.78, 0.87, -0.94, 0.14, 0.63, 0.34]]
1057 : 8 : [[-0.48, 0.98, 0.94, -0.89, 0.91, -0.93], [0.16, 0.8, 0.91, 0.24, 0.75, -0.07], [-0.6, -0.91, -0.6, -0.77, 0.12, -0.77], [-0.25, -0.27, 0.82, -0.45, 0.49, -0.16], [0.34, -0.81, 0.53, 0.64, 0.45, -0.98], [-0.93, -0.13, 0.93, 0.18, 0.71, 0.71], [0.61, 0.16, 0.13, 0.28, -0.73, -0.21], [-0.06, 0.18, 0.24, 0.61, -0.19, 0.88]]
593 : 9 : [[-0.1, 0.83, -0.03, 0.03, -0.87, 0.83], [-1.0, 0.8, 0.95, 0.29, 0.81, -0.66], [-0.46, 0.83, -0.69, 0.27, -0.84, -0.02], [-0.71, 0.09, -0.05, 0.47, 0.15, -0.92], [-0.49, -0.65, 0.99, -0.53, 0.47, -0.92], [0.94, 0.0, -0.6, 0.16, -0.34, 0.78], [-0.02, -0.65, -0.25, 0.54, -0.54, 0.21], [0.1, 0.62, 0.69, 0.09, 0.46, 0.06]]
